沉默的羔羊,乔纳森·戴米 Jonathan Demme,1991,8.9,安东尼·霍普金斯的顶级表演。
美国往事,赛尔乔·莱翁内 Sergio Leone,1984,9.2,往事如烟，无处祭奠。
哈利·波特与死亡圣器(下),大卫·叶茨 David Yates,2011,8.9,10年的完美句点。
禁闭岛,Martin Scorsese,2010,8.8,昔日翩翩少年，今日大腹便便。
蝴蝶效应,埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber,2004,8.8,人的命运被自己瞬间的抉择改变。
布达佩斯大饭店,韦斯·安德森 Wes Anderson,2014,8.9,小清新的故事里注入了大历史的情怀。
心灵捕手,格斯·范·桑特 Gus Van Sant,1997,8.9,人生中应该拥有这样的一段豁然开朗。
低俗小说,昆汀·塔伦蒂诺 Quentin Tarantino,1994,8.9,故事的高级讲法。
春光乍泄,王家卫 Kar Wai Wong,1997,9.0,爱情纠缠，男女一致。
七宗罪,大卫·芬奇 David Fincher,1995,8.8,警察抓小偷，老鼠玩死猫。
摩登时代,查理·卓别林 Charles Chaplin,1936,9.3,大时代中的人生，小人物的悲喜。
喜剧之王,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,8.8,我是一个演员。
致命ID,詹姆斯·曼高德 James Mangold,2003,8.8,最不可能的那个人永远是最可能的。
被嫌弃的松子的一生,中岛哲也 Tetsuya Nakashima,2006,8.9,以戏谑来戏谑戏谑。
杀人回忆,奉俊昊 Joon-ho Bong,2003,8.9,关于连环杀人悬案的集体回忆。
加勒比海盗,戈尔·维宾斯基 Gore Verbinski,2003,8.8,约翰尼·德普的独角戏。
红辣椒,今敏 Satoshi Kon,2006,9.0,梦的勾结。
剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,8.7,浪漫忧郁的成人童话。
狩猎,托马斯·温特伯格 Thomas Vinterberg,2012,9.1,人言可畏。
请以你的名字呼唤我,卢卡·瓜达尼诺 Luca Guadagnino,2017,8.9,沉醉在电影的情感和视听氛围中无法自拔。
勇敢的心,梅尔·吉布森 Mel Gibson,1995,8.9,史诗大片的典范。
7号房的礼物,李焕庆 Hwan-kyeong Lee,2013,8.9,《我是山姆》的《美丽人生》。
功夫,周星驰 Stephen Chow,2004,8.7,警恶惩奸，维护世界和平这个任务就交给你了，好吗？
断背山,李安 Ang Lee,2005,8.8,每个人心中都有一座断背山。
超脱,托尼·凯耶 Tony Kaye,2011,8.9,穷尽一生，我们要学会的，不过是彼此拥抱。
哈利·波特与阿兹卡班的囚徒,Alfonso Cuarón,2004,8.9,不一样的导演，不一样的哈利·波特。
天使爱美丽,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,8.7,法式小清新。 
入殓师,泷田洋二郎 Yôjirô Takita,2008,8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。
唐伯虎点秋香,李力持 Lik-Chi Lee,1993,8.7,华太师是黄霑，吴镇宇四大才子之一。
第六感,M·奈特·沙马兰 M. Night Shyamalan,1999,8.9,深入内心的恐怖，出人意料的结局。
幽灵公主,宫崎骏 Hayao Miyazaki,1997,8.9,人与自然的战争史诗。
重庆森林,王家卫 Kar Wai Wong,1994,8.8,寂寞没有期限。
小森林 夏秋篇,森淳一 Junichi Mori,2014,9.0,那些静得只能听见呼吸的日子里，你明白孤独即生活。
阳光灿烂的日子,姜文 Wen Jiang,1994,8.8,一场华丽的意淫。
爱在黎明破晓前,理查德·林克莱特 Richard Linklater,1995,8.8,缘分是个连绵词，最美不过一瞬。
一一,杨德昌 Edward Yang,2000,9.1,我们都曾经是一一。
蝙蝠侠：黑暗骑士崛起,克里斯托弗·诺兰 Christopher Nolan,2012,8.8,诺兰就是保证。
菊次郎的夏天,北野武 Takeshi Kitano,1999,8.8,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
消失的爱人,大卫·芬奇 David Fincher,2014,8.7,年度最佳date movie。
哈利·波特与密室,Chris Columbus,2002,8.8,魔法的密室之门已打开...
超能陆战队,唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,8.7,Balalala~~~
无人知晓,是枝裕和 Hirokazu Koreeda,2004,9.1,我的平常生活就是他人的幸福。
小森林 冬春篇,森淳一 Junichi Mori,2015,9.0,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
完美的世界,克林特·伊斯特伍德 Clint Eastwood,1993,9.1,坏人的好总是比好人的好来得更感人。
倩女幽魂,程小东 Siu-Tung Ching,1987,8.7,两张绝世的脸。 
爱在日落黄昏时,理查德·林克莱特 Richard Linklater,2004,8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。
侧耳倾听,近藤喜文 Yoshifumi Kondo,1995,8.9,少女情怀总是诗。
借东西的小人阿莉埃蒂,米林宏昌 Hiromasa Yonebayashi,2010,8.9,曾经的那段美好会沉淀为一辈子的记忆。
甜蜜蜜,陈可辛 Peter Chan,1996,8.9,相逢只要一瞬间，等待却像是一辈子。
萤火之森,大森贵弘 Takahiro Omori,2011,8.9,触不到的恋人。
驯龙高手,迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders,2010,8.7,和谐的生活离不开摸头与被摸头。
幸福终点站,史蒂文·斯皮尔伯格 Steven Spielberg,2004,8.8,有时候幸福需要等一等。 
玛丽和马克思,亚当·艾略特 Adam Elliot,2009,8.9,你是我最好的朋友，你是我唯一的朋友 。
时空恋旅人,理查德·柯蒂斯 Richard Curtis,2013,8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
大鱼,蒂姆·波顿 Tim Burton,2003,8.8,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
怪兽电力公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,8.7,不要给它起名字，起了名字就有感情了。
告白,中岛哲也 Tetsuya Nakashima,2010,8.8,没有一人完全善，也没有一人完全恶。
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,再多各自牛逼的时光，也比不上一起傻逼的岁月。 
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,百看不厌。 
神偷奶爸,皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,8.6,Mr. I Don&#39;t Care其实也有Care的时候。
傲慢与偏见,乔·怀特 Joe Wright,2005,8.7,爱是摈弃傲慢与偏见之后的曙光。
教父3,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,9.0,任何信念的力量，都无法改变命运。
玩具总动员3,李·昂克里奇 Lee Unkrich,2010,8.9,跨度十五年的欢乐与泪水。
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,恐怖分子的“秋菊打官司”。
釜山行,延尚昊 Sang-ho Yeon,2016,8.6,揭露人性的丧尸题材力作。
一个叫欧维的男人决定去死,汉内斯·赫尔姆 Hannes Holm,2015,8.9,惠及一生的美丽。
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.1,想你时你在闹海。
